linea,sentido,tipodia,sublinea,tr_optimo,tr_minimo,tr_maximo,nodo,nodo_2
263,1,Habil,1072,0 days 00:25:40,0 days 00:22:47,0 days 00:31:21,PORTAL 20 DE JULIO T7,Museo Nacional B - 1 ó 5
263,2,Habil,1072,0 days 00:24:21,0 days 00:22:26,0 days 00:28:35,Museo Nacional B - 1 ó 5,PORTAL 20 DE JULIO T7
264,1,Habil,1505,0 days 00:46:42,0 days 00:42:42,0 days 01:00:51,Portal Usme T6,Concejo de Bogotá A - 4 ó 6
264,2,Habil,1505,0 days 00:49:21,0 days 00:44:51,0 days 01:07:03,Concejo de Bogotá A - 4 ó 6,Portal Usme T6
265,1,Habil,1477,0 days 00:53:49,0 days 00:51:08,0 days 01:04:58,Portal Sur T2,Héroes A - 4 ó 6
265,2,Habil,1477,0 days 00:25:59,0 days 00:24:15,0 days 00:42:00,Héroes A - 4 ó 6,Portal Sur T2
266,1,Habil,1522,0 days 00:15:19,0 days 00:14:25,0 days 00:30:28,Portal Américas T8,Calle 22 B - 4 ó 6
266,2,Habil,1522,0 days 00:40:45,0 days 00:37:31,0 days 01:01:00,Calle 22 B - 4 ó 6,Portal Américas T8
267,1,Habil,1299,0 days 00:48:00,0 days 00:44:30,0 days 01:01:15,Portal 80 T-4,Universidades A - 2 ó 5
267,1,Habil,1300,0 days 00:08:30,0 days 00:08:00,0 days 00:31:45,Universidades B - 4 ó 6,Portal 80 T-4
268,1,Habil,1397,0 days 00:50:00,0 days 00:47:00,0 days 01:06:15,Santa Isabel A - 4 ó 6,Portal Suba T2
268,1,Habil,1506,0 days 00:51:00,0 days 00:47:45,0 days 01:07:00,Portal Suba T2,Santa Isabel A - 2 ó 5
269,1,Habil,1463,0 days 00:26:41,0 days 00:24:52,0 days 00:47:38,Terminal A - 1,Guatoque - Veraguas A - 3 ó 6
269,1,Habil,1464,0 days 00:11:14,0 days 00:10:19,0 days 00:39:51,Guatoque - Veraguas B - 1 ó 5,Terminal A - 4 ó 6
305,1,Habil,1465,0 days 00:06:40,0 days 00:06:29,0 days 01:14:26,San Mateo B - 4 ó 6,Portal Norte T4
305,1,Habil,1466,0 days 01:06:49,0 days 01:02:04,0 days 01:13:04,San Mateo B - 4 ó 6,Alcalá A - 4 ó 6
305,1,Habil,1467,0 days 00:10:18,0 days 00:09:56,0 days 00:55:20,Portal Norte T4,San Mateo B - 2 ó 5
333,1,Habil,1521,0 days 01:02:00,0 days 00:58:45,0 days 01:17:40,PORTAL 20 DE JULIO T4,Portal Suba T7
333,2,Habil,1521,0 days 01:01:21,0 days 00:58:17,0 days 01:15:25,Portal Suba T7,PORTAL 20 DE JULIO T4
334,1,Habil,1454,0 days 00:42:30,0 days 00:40:00,0 days 00:56:15,Bicentenario B - 4 ó 6,San Mateo B - 2 ó 5
334,1,Habil,1455,0 days 00:42:30,0 days 00:40:15,0 days 00:53:45,San Mateo A - 4,Bicentenario C - 2 ó 5
